Line #1:
12.396694214876 1.20772946859903
20.3305785123967 2.41545893719807
33.7190082644628 8.45410628019324
46.6115702479339 16.9082125603865
60.495867768595 28.9855072463768
68.4297520661157 37.43961352657
75.8677685950413 45.8937198067633
82.3140495867769 54.3478260869565
89.7520661157025 64.0096618357488
97.6859504132231 76.0869565217391
104.132231404959 86.9565217391304
108.099173553719 94.2028985507246
114.04958677686 103.864734299517
119.00826446281 113.526570048309
122.97520661157 123.188405797101
129.917355371901 134.057971014493
134.876033057851 146.135265700483
138.347107438017 153.381642512077
143.305785123967 165.458937198068
148.264462809917 177.536231884058
153.223140495868 188.405797101449
156.694214876033 198.067632850242
161.652892561983 210.144927536232
166.115702479339 223.429951690821
172.066115702479 239.130434782609
178.01652892562 256.038647342995
182.479338842975 270.531400966184
186.446280991736 281.400966183575
191.404958677686 295.893719806763
196.859504132231 315.217391304348
201.818181818182 329.710144927536
204.793388429752 339.371980676329

Line #2:
133.388429752066 61.5942028985507
131.404958677686 68.8405797101449
127.933884297521 79.7101449275362
123.96694214876 92.9951690821256
120.495867768595 103.864734299517
116.03305785124 118.357487922705
110.082644628099 136.473429951691
105.619834710744 148.550724637681
102.148760330579 159.420289855072
99.1735537190083 167.874396135266
97.1900826446281 172.705314009662
93.2231404958678 182.367149758454
90.2479338842975 192.028985507246
85.2892561983471 205.314009661836
77.8512396694215 221.014492753623
72.396694214876 237.92270531401
62.4793388429752 259.661835748792
56.5289256198347 272.946859903382
50.0826446280992 286.231884057971
43.6363636363636 299.51690821256

4 degree:
166.611570247934 83.3333333333333
163.636363636364 91.7874396135266
161.157024793388 100.24154589372
158.181818181818 107.487922705314
152.727272727273 120.772946859903
149.256198347107 131.642512077295
145.785123966942 143.719806763285
139.834710743802 158.212560386473
133.884297520661 170.289855072464
130.413223140496 181.159420289855
125.95041322314 189.613526570048
122.479338842975 201.690821256039
116.03305785124 213.768115942029
111.074380165289 228.260869565217
104.132231404959 242.753623188406
99.1735537190083 253.623188405797
94.2148760330578 263.285024154589
89.2561983471074 274.154589371981
83.801652892562 285.024154589372
77.3553719008264 295.893719806763
71.404958677686 307.971014492754
64.9586776859504 318.840579710145
60.495867768595 328.502415458937
56.5289256198347 336.95652173913
49.5867768595041 346.618357487923

8 degree:
207.272727272727 102.657004830918
202.314049586777 112.31884057971
198.347107438017 125.6038647343
193.388429752066 135.265700483092
189.421487603306 146.135265700483
184.462809917355 155.797101449275
180.99173553719 165.458937198068
175.537190082645 178.743961352657
168.099173553719 193.236714975845
164.628099173554 201.690821256039
160.165289256198 212.56038647343
156.694214876033 221.014492753623
152.231404958678 229.468599033816
148.760330578512 235.507246376812
145.289256198347 243.961352657005
140.826446280992 252.415458937198
135.867768595041 262.07729468599
130.909090909091 272.946859903382
124.95867768595 286.231884057971
118.01652892562 298.309178743961
113.057851239669 305.555555555556
109.586776859504 314.009661835749
104.132231404959 324.87922705314
98.6776859504132 334.541062801932
93.2231404958678 342.995169082126
89.2561983471074 351.449275362319
84.297520661157 357.487922705314
78.8429752066116 365.942028985507
74.3801652892562 376.811594202899
70.4132231404959 382.850241545894
63.9669421487603 391.304347826087
58.5123966942149 400.966183574879

12 degree:
240.0 121.980676328502
236.528925619835 130.434782608696
231.570247933884 141.304347826087
226.611570247934 155.797101449275
222.148760330579 164.251207729469
218.181818181818 175.12077294686
213.719008264463 184.782608695652
208.760330578512 196.859903381643
204.297520661157 205.314009661836
198.842975206612 217.391304347826
193.884297520661 225.845410628019
190.413223140496 236.714975845411
184.462809917355 248.792270531401
178.512396694215 259.661835748792
173.553719008264 271.739130434783
168.099173553719 278.985507246377
163.140495867769 289.855072463768
157.685950413223 300.724637681159
151.239669421488 310.386473429952
145.289256198347 321.256038647343
139.834710743802 329.710144927536
134.380165289256 339.371980676329
128.925619834711 347.826086956522
122.97520661157 356.280193236715
114.545454545455 369.565217391304
106.115702479339 382.850241545894
99.1735537190083 392.512077294686
91.2396694214876 402.173913043478
82.3140495867769 413.04347826087
71.900826446281 423.913043478261
67.4380165289256 429.951690821256

